TaxID	Kingdom	Phylum	Class	Order	Family	Genus	Species
1035495	Metazoa	Cnidaria	Hydrozoa	Leptothecata	Sertulariidae	Amphisbetia	Amphisbetia distans
1035496	Metazoa	Cnidaria	Hydrozoa	Leptothecata	Sertulariidae	Sertularia	Sertularia marginata
1053277	Metazoa	Cnidaria	Scyphozoa	Rhizostomeae	Cepheidae	Marivagia	Marivagia stellata
1089265	Metazoa	Cnidaria	Hydrozoa	Leptothecata	Lafoeidae	Zygophylax	Zygophylax brownei
1105128	Metazoa	Cnidaria	Scyphozoa	Rhizostomeae	Catostylidae	Acromitus	Acromitus flagellatus
1105129	Metazoa	Cnidaria	Scyphozoa	Semaeostomeae	Pelagiidae	Chrysaora	Chrysaora hysoscella
114796	Metazoa	Cnidaria	Scyphozoa	Rhizostomeae	Cassiopeidae	Cassiopea	Cassiopea andromeda
1191432	Metazoa	Cnidaria	Scyphozoa	Rhizostomeae	Rhizostomatidae	Rhopilema	Rhopilema hispidum
1193083	Metazoa	Cnidaria	Cubozoa	Carybdeida	Alatinidae	Alatina	Alatina alata
1262060	Metazoa	Cnidaria	Hydrozoa	Anthoathecata	Hydractiniidae	Clavactinia	Clavactinia serrata
1279102	Metazoa	Cnidaria	Hydrozoa	Anthoathecata	Corynidae	Stauridiosarsia	Stauridiosarsia ophiogaster
1280077	Metazoa	Cnidaria	Hydrozoa	Anthoathecata	Corymorphidae	Corymorpha	Corymorpha anthoformis
128124	Metazoa	Cnidaria	Hydrozoa	Limnomedusae	Olindiidae	Craspedacusta	Craspedacusta sowerbii
128131	Metazoa	Cnidaria	Scyphozoa	Semaeostomeae	Pelagiidae	Sanderia	Sanderia malayensis
12993	Metazoa	Cnidaria	Scyphozoa	Rhizostomeae	Cassiopeidae	Cassiopea	Cassiopea xamachana
13093	Metazoa	Cnidaria	Hydrozoa	Anthoathecata	Hydractiniidae	Hydractinia	Hydractinia symbiolongicarpus
13108	Metazoa	Cnidaria	Hydrozoa	Anthoathecata	Pandeidae	Leuckartiara	Leuckartiara octona
1345087	Metazoa	Cnidaria	Hydrozoa	Anthoathecata	Corynidae	Stauridiosarsia	Stauridiosarsia gemmifera
135523	Metazoa	Cnidaria	Scyphozoa	Semaeostomeae	Cyaneidae	Cyanea	Cyanea nozakii
1366059	Metazoa	Cnidaria	Hydrozoa	Siphonophorae	Diphyidae	Lensia	Lensia cossack
1484298	Metazoa	Cnidaria	Scyphozoa	Semaeostomeae	Pelagiidae	Chrysaora	Chrysaora fulgida
1538291	Metazoa	Cnidaria	Hydrozoa	Trachymedusae	Rhopalonematidae	Sminthea	Sminthea arctica
154958	Metazoa	Cnidaria	Hydrozoa	Anthoathecata	Hydridae	Hydra	Hydra circumcincta
154962	Metazoa	Cnidaria	Hydrozoa	Siphonophorae	Prayidae	Nectopyramis	Nectopyramis sp. MMM-2001
1577631	Metazoa	Cnidaria	Hydrozoa	Leptothecata	Campanulariidae	Orthopyxis	Orthopyxis mianzani
1585943	Metazoa	Cnidaria	Scyphozoa	Rhizostomeae	Catostylidae	Catostylus	Catostylus tagi
1604653	Metazoa	Cnidaria	Scyphozoa	Semaeostomeae	Pelagiidae	Pelagia	Pelagia panopyra
1631756	Metazoa	Cnidaria	Hydrozoa	Leptothecata	Campanulariidae	Orthopyxis	Orthopyxis caliculata
166266	Metazoa	Cnidaria	Hydrozoa	Limnomedusae	Olindiidae	Maeotias	Maeotias marginata
168710	Metazoa	Cnidaria	Hydrozoa	Narcomedusae	Aeginidae	Aegina	Aegina citrea
168717	Metazoa	Cnidaria	Cubozoa	Carybdeida	Carukiidae	Carukia	Carukia barnesi
168718	Metazoa	Cnidaria	Cubozoa	Carybdeida	Tripedaliidae	Copula	Copula sivickisi
168722	Metazoa	Cnidaria	Scyphozoa	Rhizostomeae	Catostylidae	Catostylus	Catostylus sp. AGC-2001
168723	Metazoa	Cnidaria	Cubozoa	Chirodropida	Chiropsalmidae	Chiropsalmus	Chiropsalmus sp. AGC-2001
168724	Metazoa	Cnidaria	Scyphozoa	Semaeostomeae	Pelagiidae	Chrysaora	Chrysaora melanaster
168729	Metazoa	Cnidaria	Hydrozoa	Trachymedusae	Rhopalonematidae	Crossota	Crossota rufobrunnea
168732	Metazoa	Cnidaria	Hydrozoa	Narcomedusae	Cuninidae	Cunina	Cunina frugifera
168735	Metazoa	Cnidaria	Cubozoa	Carybdeida	Carybdeidae	'Darwin carybdeid' sp. AGC-2001	
168738	Metazoa	Cnidaria	Hydrozoa	Anthoathecata	Eudendriidae	Eudendrium	Eudendrium racemosum
168739	Metazoa	Cnidaria	Staurozoa	Stauromedusae	Haliclystidae	Haliclystus	Haliclystus sanjuanensis
168742	Metazoa	Cnidaria	Hydrozoa	Trachymedusae	Halicreatidae	Haliscera	Haliscera conica
168745	Metazoa	Cnidaria	Hydrozoa	Siphonophorae	Hippopodiidae	Hippopodius	Hippopodius hippopus
168749	Metazoa	Cnidaria	Hydrozoa	Leptothecata	Laodiceidae	Melicertissa	Melicertissa sp. AGC-2001
168753	Metazoa	Cnidaria	Hydrozoa	Anthoathecata	Moerisiidae	Moerisia	Moerisia sp. AGC-2001
168759	Metazoa	Cnidaria	Hydrozoa	Siphonophorae	Agalmatidae	Nanomia	Nanomia bijuga
168762	Metazoa	Cnidaria	Scyphozoa	Coronatae	Nausithoidae	Nausithoe	Nausithoe rubra
168763	Metazoa	Cnidaria	Hydrozoa	Siphonophorae	Prayidae	Nectopyramis	Nectopyramis sp. AGC-2001
168767	Metazoa	Cnidaria	Scyphozoa	Semaeostomeae	Pelagiidae	Chrysaora	Chrysaora colorata
168769	Metazoa	Cnidaria	Hydrozoa	Trachymedusae	Rhopalonematidae	Pantachogon	Pantachogon haeckeli
168771	Metazoa	Cnidaria	Scyphozoa	Semaeostomeae	Ulmaridae	Phacellophora	Phacellophora camtschatica
168775	Metazoa	Cnidaria	Hydrozoa	Siphonophorae	Physaliidae	Physalia	Physalia physalis
168779	Metazoa	Cnidaria	Hydrozoa	Siphonophorae	Physophoridae	Physophora	Physophora hydrostatica
168783	Metazoa	Cnidaria	Hydrozoa	Anthoathecata	Porpitidae	Porpita	Porpita sp. AGC-2001
168787	Metazoa	Cnidaria	Hydrozoa	Anthoathecata	Polyorchidae	Scrippsia	Scrippsia pacifica
168794	Metazoa	Cnidaria	Hydrozoa	Anthoathecata	Cladonematidae	Staurocladia	Staurocladia wellingtoni
168796	Metazoa	Cnidaria	Scyphozoa	Rhizostomeae	Stomolophidae	Stomolophus	Stomolophus meleagris
168799	Metazoa	Cnidaria	Hydrozoa	Leptothecata	Tiaropsidae	Tiaropsidium	Tiaropsidium kelseyi
1699629	Metazoa	Cnidaria	Cubozoa	Carybdeida	Carybdeidae	Carybdea	Carybdea brevipedalia
1705789	Metazoa	Cnidaria	Scyphozoa	Semaeostomeae	Pelagiidae	Chrysaora	Chrysaora plocamia
1755686	Metazoa	Cnidaria	Hydrozoa	Anthoathecata	Boreohydridae	Plotocnide	Plotocnide borealis
1769400	Metazoa	Cnidaria	Hydrozoa	Leptothecata	Aglaopheniidae	Aglaophenia	Aglaophenia rhynchocarpa
1769404	Metazoa	Cnidaria	Hydrozoa	Anthoathecata	Tubulariidae	Ectopleura	Ectopleura obypa
1769407	Metazoa	Cnidaria	Hydrozoa	Leptothecata	Aglaopheniidae	Lytocarpia	Lytocarpia canepa
1769408	Metazoa	Cnidaria	Hydrozoa	Leptothecata	Kirchenpaueriidae	Oswaldella	Oswaldella shetlandica
1769409	Metazoa	Cnidaria	Hydrozoa	Leptothecata	Aequoreidae	Rhacostoma	Rhacostoma atlanticum
1769410	Metazoa	Cnidaria	Hydrozoa	Leptothecata	Sertulariidae	Sertularella	Sertularella diaphana
1769411	Metazoa	Cnidaria	Hydrozoa	Leptothecata	Sertulariidae	Sertularia	Sertularia tumida
1769412	Metazoa	Cnidaria	Hydrozoa	Leptothecata	Sertulariidae	Sertularia	Sertularia turbinata
1769415	Metazoa	Cnidaria	Hydrozoa	Leptothecata	Sertulariidae	Idiellana	Idiellana pristis
1769417	Metazoa	Cnidaria	Hydrozoa	Leptothecata	Haleciidae	Nemalecium	Nemalecium lighti
1792614	Metazoa	Cnidaria	Hydrozoa	Leptothecata	Campanulariidae	Campanularia	Campanularia sp. MMM-2016
1792615	Metazoa	Cnidaria	Hydrozoa	Anthoathecata	Hydractiniidae	Hydractinia	Hydractinia sp. MMM-2016
1792616	Metazoa	Cnidaria	Hydrozoa	Anthoathecata	Eudendriidae	Eudendrium	Eudendrium caraiuru
1793163	Metazoa	Cnidaria	Hydrozoa	Anthoathecata	Corynidae	Stauridiosarsia	Stauridiosarsia producta
1840506	Metazoa	Cnidaria	Scyphozoa	Semaeostomeae	Pelagiidae	Chrysaora	Chrysaora chinensis
184213	Metazoa	Cnidaria	Scyphozoa	Semaeostomeae	Ulmaridae	Aurelia	Aurelia limbata
1843190	Metazoa	Cnidaria	Staurozoa	Stauromedusae	Kishinouyeidae	Calvadosia	Calvadosia campanulata
1843191	Metazoa	Cnidaria	Staurozoa	Stauromedusae	Kishinouyeidae	Calvadosia	Calvadosia corbini
1843192	Metazoa	Cnidaria	Staurozoa	Stauromedusae	Kishinouyeidae	Calvadosia	Calvadosia cruxmelitensis
1843194	Metazoa	Cnidaria	Staurozoa	Stauromedusae	Kishinouyeidae	Calvadosia	Calvadosia vanhoeffeni
